title,url
‘LOST AND CONFUSED’: NRL icon Paul Green’s ‘tough’ year before death,https://www.news.com.au/sport/nrl/inside-nrl-icon-paul-greens-tough-year-before-he-took-his-own-life/news-story/71c83f1cc026056f46a1dae0e13a7a8c
Bombshell development in Trump raid,https://www.news.com.au/world/north-america/us-politics/attorneygeneral-personally-approved-raid-on-trumps-maralago-home/news-story/564a6e78a7ddfe0f97f6771aa417912d
‘Absolutely shocked’: Widow’s $250k mistake,https://www.news.com.au/finance/money/costs/absolutely-shocked-widow-loses-250k-to-sophisticated-scammers/news-story/3c4fa452397426158f9ec4b4bfa048ea
Newsreader’s desperate mid-bulletin plea,https://www.news.com.au/sport/nrl/nine-newsreader-peter-overton-makes-desperate-midbulletin-plea-after-paul-greens-death/news-story/7198523f1169b47eca0d126da8ebecac
‘I haven’t had sex with my hubby for 15 years’,https://www.news.com.au/lifestyle/health/health-problems/i-havent-had-sex-with-my-loving-husband-for-15-years/news-story/af53ef5c9185cb7ef2b80a57faa2efdf
Woman who ‘stole’ Olivia’s husband speaks,https://www.news.com.au/entertainment/celebrity-life/celebrity-deaths/olivia-newtonjohns-first-husband-matt-lattanzi-married-their-former-babysitter/news-story/09b8e405ef6a86078b3ff7589477050b
Dan Andrews’ awkward Olivia gaffe,https://www.news.com.au/entertainment/celebrity-life/celebrity-deaths/absolutely-embarrassing-andrews-slammed-for-olivia-newtonjohn-gaffe/news-story/5741d8e6f20866721f5c6d515fc7df0b
Cookware item increases cancer risk by 350%,https://www.news.com.au/lifestyle/health/health-problems/forever-chemicals-in-cookware-linked-to-cancer-in-human-study/news-story/d2d5c4556a5fdf89ab69faf3b1bdccc5
Star in ‘dire’ condition amid drug revelation,https://www.news.com.au/entertainment/celebrity-life/anne-heche-in-dire-condition-amid-drug-revelation/news-story/54da1b663af629d6d1df15e6e94bf3e8
‘Very vulnerable’: Amber alert as 4 kids taken,https://www.news.com.au/national/queensland/crime/four-children-abducted-in-queensland-as-police-issue-amber-alert/news-story/0af6269ec5b706f9cad1efd55597f013
Nuclear ‘disaster’ warning as plant attacked,https://www.news.com.au/world/europe/nuclear-disaster-warning-as-europes-biggest-power-plant-attacked/news-story/8e97a095e26b2c729f21b943a4a903dd
Sam Frost leaves Sydney treasure behind,https://www.realestate.com.au/news/sam-frost-opts-for-surprise-home-turnaround/?rsf=syn:news:nca:news:spa
Forgotten Aussie stays in moment and contention,https://www.news.com.au/sport/golf/golf-jason-day-leads-australian-charge-at-21m-st-jude-classic/news-story/ddc36a0080430be37505a7451cd5f71a
France’s ‘Little Nicolas’ illustrator Jean-Jacques Sempe dies aged 89,https://www.news.com.au/breaking-news/frances-little-nicolas-illustrator-jeanjacques-sempe-dies-aged-89/news-story/33227ba06a2e2aad1d248808a2fc87fb
The two-word scam tricking parents,https://www.news.com.au/lifestyle/parenting/hi-mum-parents-targeted-in-cruel-cybercrime-text-scam/news-story/ff6ea2fbde25346688c1fde499b57ffe
"If you score 100% in this quiz, you’re a travel expert",https://www.news.com.au/in-the-know-quiz/dashboard
Kaley Cuoco reveals big career dilemma,https://www.news.com.au/entertainment/celebrity-life/big-bang-theory-star-kaley-cuoco-on-her-big-career-dilemma/news-story/28a7da6825a0948774ac0bf5c23d1a27
